cat_id,field,value,valid_starting_at,valid_ending_at
19061854,single_cat,False,2023-07-08 16:27:17+00:00,
19061854,type,Domestic Short Hair ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19061854,description,"Blithedale Romance is a charming and snuggly calico. She is full of energy for play time and then is ready for a cuddle — she will let you pick her up, she may sleep on your legs or up against you. The Great Carbuncle is a bit more cautious and protective than her counterpart, but once you get through that thin layer of sass she’s just like her purring machine sister and melts into a love bug. She loves a donut bed and other cats.",2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18986895,url,https://catcafebk.com/our-cats/?cat=18986895,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18986895,cat_name,Broomstick & Candelabra,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18986895,age,6 Months 25 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18986895,gender, Male,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18986895,cafe_cat,False,2023-07-08 16:27:17+00:00,
18986895,kid_approved,True,2023-07-08 16:27:17+00:00,
18986895,dog_approved,True,2023-07-08 16:27:17+00:00,
18986895,companion_cat,False,2023-07-08 16:27:17+00:00,
18986895,bonded_pair,True,2023-07-08 16:27:17+00:00,
18986895,single_cat,False,2023-07-08 16:27:17+00:00,
18986895,type,Domestic Short Hair ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18986895,description,"Are you looking for playful, snuggly, silly kittens? If so, these sweet boys might be your perfect match! Although they can be a little skittish while settling into a new place, Broomstick and Candelabra will transform into rambunctious, snuggly little furbabies as soon as they’re comfortable. Candelabra has earned the nickname “Lawnmower” with his foster family due to how loudly he purrs. He’s also not afraid to speak up, and he will let you know with his squeaky little mew when it’s time to play or give him snuggles (which is often!). At night, once he’s gotten his zoomies out with his brother, he likes to settle in for some snuggles on his foster mom’s legs. Broomstick is a little more shy, but if you’re patient (and generous with Churus, his favorite treats) he’ll be happy to play and accept some pets from you. These boys absolutely adore one another, and it’s so fun to watch them play and snuggle, and so gratifying to be let in on the fun once you’ve earned their trust!",2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19047168,url,https://catcafebk.com/our-cats/?cat=19047168,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19047168,cat_name,Capitan,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19047168,age,2 Years 0 Months ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19047168,gender, Male,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19047168,cafe_cat,True,2023-07-08 16:27:17+00:00,
19047168,kid_approved,False,2023-07-08 16:27:17+00:00,
19047168,dog_approved,False,2023-07-08 16:27:17+00:00,
19047168,companion_cat,True,2023-07-08 16:27:17+00:00,
19047168,bonded_pair,False,2023-07-08 16:27:17+00:00,
19047168,single_cat,True,2023-07-08 16:27:17+00:00,
19047168,type,Domestic Short Hair ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
